id,latitude,longitude,location,vehicle_number,vehicle_type,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID018876,12.9734759,77.5792955,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL17757,SCOOTER,"[""NO PARKING""]",[113],2024-01-12 10:35:46+05:30,,2024-01-14 12:11:51.204359+05:30,FKDEV00128,FKUSR00128,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL17757,SCOOTER,approved,2024-01-15 11:19:45.925000+05:30
FKID177586,12.9782908,77.5788548,"4th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL31543,CAR,"[""WRONG PARKING""]",[112],2023-12-12 01:33:46+05:30,,2023-12-12 01:52:53.602319+05:30,FKDEV00382,FKUSR00379,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL31543,CAR,approved,2023-12-12 02:52:32.672000+05:30
FKID289977,12.9767149,77.5799585,"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL227363,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-11-28 09:55:46+05:30,,2023-11-28 11:57:56.907748+05:30,FKDEV00881,FKUSR00202,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL227363,MOTOR CYCLE,approved,2023-11-29 03:42:09.982000+05:30
FKID179398,12.9763317,77.5765287,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL118966,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-12-13 05:57:46+05:30,,2023-12-13 06:03:46.351224+05:30,FKDEV00349,FKUSR00346,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL118966,MOTOR CYCLE,approved,2023-12-17 09:24:47.474000+05:30
FKID189935,12.9735068,77.5800655,"Allahabad Bank, 2, Kempegowda Road, Balepet, Chikkapete, Chickpete, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL155872,JEEP,"[""NO PARKING""]",[113],2023-12-15 05:24:46+05:30,,2023-12-15 05:29:12.570620+05:30,FKDEV00130,FKUSR00130,3,Upparpet,True,BTP038 - Mysore Bank Junction,,,FKN00GL155872,JEEP,approved,2023-12-18 10:19:00.727000+05:30
FKID255857,12.9790077,77.5804584,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL203720,MOTOR CYCLE,"[""NO PARKING""]",[113],2024-01-19 02:22:46+05:30,,2024-01-19 02:51:24.069633+05:30,FKDEV01378,FKUSR01311,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL203721,MOTOR CYCLE,approved,2024-01-20 07:16:59.790000+05:30
FKID289892,12.9773059,77.5755015,"1st Cross Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL227296,CAR,"[""WRONG PARKING""]",[112],2024-03-12 03:00:46+05:30,,2024-03-12 03:10:36.386762+05:30,FKDEV00202,FKUSR00202,3,Upparpet,True,BTP045 - Danvanthri Road Junction,,2024-03-29 01:11:11.985735+05:30,FKN00GL227296,CAR,approved,2024-04-04 03:15:51.798000+05:30
FKID211040,12.9732674,77.5786657,"2nd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL171706,CAR,"[""WRONG PARKING""]",[112],2023-12-29 12:16:46+05:30,,2023-12-29 14:05:59.497217+05:30,FKDEV00236,FKUSR00235,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL171706,CAR,approved,2023-12-30 01:42:03.267000+05:30
FKID238162,12.9802833,77.5793083,"Seshadri Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL114119,PRIVATE BUS,"[""NO PARKING"",""PARKING IN A MAIN ROAD""]","[113,107]",2024-01-09 03:46:46+05:30,,2024-01-10 12:24:02.832621+05:30,FKDEV00589,FKUSR00573,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL114119,PRIVATE BUS,approved,2024-01-11 05:54:10.434000+05:30
FKID159523,12.9752738,77.5747728,"Major T Ramachandrappa Road, Subash Nagar, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL132415,PASSENGER AUTO,"[""WRONG PARKING""]",[112],2023-11-16 07:40:46+05:30,,2023-11-16 08:35:53.300112+05:30,FKDEV00018,FKUSR00018,3,Upparpet,True,BTP045 - Danvanthri Road Junction,,,FKN00GL132415,PASSENGER AUTO,approved,2023-11-17 03:27:05.732000+05:30
FKID187326,12.9771007,77.5764621,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL40251,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-12-14 08:59:46+05:30,,2023-12-14 09:02:19.771844+05:30,FKDEV00018,FKUSR00018,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL40251,MOTOR CYCLE,approved,2023-12-15 06:25:36.269000+05:30
FKID233742,12.9773086,77.5763997,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL15265,MOTOR CYCLE,"[""NO PARKING""]",[113],2024-01-06 08:57:46+05:30,,2024-01-06 09:22:59.534571+05:30,FKDEV00126,FKUSR00126,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL15265,MOTOR CYCLE,approved,2024-01-07 05:21:18.205000+05:30
FKID138487,12.9789683,77.5808055,"Vajreshwari Road, Railway Officers Enclave, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL115387,SCOOTER,"[""WRONG PARKING""]",[112],2023-12-03 10:13:46+05:30,,2023-12-03 10:14:50.185626+05:30,FKDEV00020,FKUSR00020,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL115387,SCOOTER,approved,2023-12-04 05:30:46.299000+05:30
FKID182898,12.9744585,77.5773944,"Kempegowda Road, Alankar Pearl Plaza, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL150503,SCOOTER,"[""WRONG PARKING""]",[112],2023-11-24 08:16:46+05:30,,2023-11-24 08:18:33.226031+05:30,FKDEV00130,FKUSR00018,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL150503,SCOOTER,approved,2023-11-25 02:08:11.344000+05:30
FKID196856,12.9770397,77.5800512,"1st Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL74793,MAXI-CAB,"[""WRONG PARKING""]",[112],2023-12-21 12:16:46+05:30,,2023-12-21 12:19:49.747048+05:30,FKDEV00382,FKUSR00379,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL74793,MAXI-CAB,approved,2023-12-22 03:55:48.717000+05:30
FKID186644,12.9783924,77.5736267,"SK Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL153362,PASSENGER AUTO,"[""WRONG PARKING""]",[112],2023-12-16 03:05:46+05:30,,2023-12-16 03:22:10.975166+05:30,FKDEV00262,FKUSR00261,3,Upparpet,True,BTP057 - Anand Rao Junction,,,FKN00GL153362,PASSENGER AUTO,approved,2023-12-17 10:47:31.318000+05:30
FKID294923,12.9766034,77.5785189,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL18410,CAR,"[""NO PARKING""]",[113],2023-11-30 00:57:46+05:30,,2023-11-30 01:06:11.321762+05:30,FKDEV00075,FKUSR00075,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL18410,CAR,approved,2023-11-30 02:17:26.028000+05:30
FKID235198,12.9760519,77.578406,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL189190,SCOOTER,"[""NO PARKING""]",[113],2024-01-03 10:57:46+05:30,,2024-01-03 10:58:16.728978+05:30,FKDEV01040,FKUSR00996,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL189190,SCOOTER,approved,2024-01-04 04:18:53.091000+05:30
FKID223578,12.9761933,77.57577,"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL180858,SCOOTER,"[""WRONG PARKING""]",[112],2024-01-05 04:28:46+05:30,,2024-01-05 04:48:36.070286+05:30,FKDEV00320,FKUSR00319,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL180858,SCOOTER,approved,2024-01-06 03:47:47.180000+05:30
FKID184778,12.9736061,77.5794517,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL151942,SCOOTER,"[""NO PARKING""]",[113],2023-12-13 12:23:46+05:30,,2023-12-13 12:25:42.541995+05:30,FKDEV00128,FKUSR00128,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL151942,MOTOR CYCLE,approved,2023-12-15 07:39:38.404000+05:30
FKID214482,12.9785001,77.5735263,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL174263,LGV,"[""NO PARKING""]",[113],2023-12-31 09:03:46+05:30,,2023-12-31 09:16:09.793888+05:30,FKDEV00488,FKUSR00479,3,Upparpet,True,BTP057 - Anand Rao Junction,,,FKN00GL174263,LGV,approved,2024-01-01 04:31:42.187000+05:30
FKID149963,12.9728222,77.5787744,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL35783,MOPED,"[""NO PARKING""]",[113],2023-11-14 04:47:46+05:30,,2023-11-14 04:55:39.734921+05:30,FKDEV01075,FKUSR01024,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL35783,MOPED,approved,2023-11-16 05:34:53.436000+05:30
FKID154988,12.9729019,77.5789856,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL42010,SCOOTER,"[""NO PARKING""]",[113],2023-11-21 08:45:46+05:30,,2023-11-21 08:46:53.552123+05:30,FKDEV00128,FKUSR00128,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL42010,SCOOTER,approved,2023-11-25 06:21:37.698000+05:30
FKID283425,12.977919,77.5754626,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL222770,SCOOTER,"[""WRONG PARKING""]",[112],2023-12-21 04:24:46+05:30,,2023-12-21 04:28:07.426015+05:30,FKDEV00062,FKUSR00062,3,Upparpet,True,BTP045 - Danvanthri Road Junction,,,FKN00GL222770,SCOOTER,approved,2023-12-27 10:11:18.391000+05:30
FKID156609,12.979172,77.5773789,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL73068,CAR,"[""WRONG PARKING""]",[112],2023-11-16 01:21:46+05:30,,2023-11-16 01:30:10.166722+05:30,FKDEV00075,FKUSR00075,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL73068,CAR,approved,2023-11-17 06:09:04.089000+05:30
FKID143121,12.9752298,77.5757123,"Dharmambudi Kere Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL119229,MOTOR CYCLE,"[""WRONG PARKING""]",[112],2023-12-03 10:37:46+05:30,,2023-12-03 10:47:49.847853+05:30,FKDEV00075,FKUSR00075,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL119229,MOTOR CYCLE,approved,2023-12-05 09:29:17.652000+05:30
FKID154334,12.9755972,77.5772774,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL128366,MOTOR CYCLE,"[""WRONG PARKING""]",[112],2023-11-15 09:12:46+05:30,,2023-11-15 09:22:01.200788+05:30,FKDEV00319,FKUSR00318,3,Upparpet,True,BTP040 - Elite Junction,,,FKN00GL128366,MOTOR CYCLE,approved,2023-11-17 06:19:07.496000+05:30
FKID293477,12.9761094,77.5783545,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL8209,SCOOTER,"[""NO PARKING""]",[113],2023-11-18 11:51:46+05:30,,2023-11-18 11:52:39.738470+05:30,FKDEV01040,FKUSR00996,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL8209,SCOOTER,approved,2023-11-19 03:05:19.044000+05:30
FKID158241,12.9791336,77.5784444,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL131380,CAR,"[""NO PARKING""]",[113],2023-12-07 07:16:46+05:30,,2023-12-08 08:55:22.526119+05:30,FKDEV00062,FKUSR00062,3,Upparpet,True,BTP058 - Subbanna Junction,,,FKN00GL131380,CAR,approved,2023-12-09 06:46:08.278000+05:30
FKID200843,12.9734101,77.5792551,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL164109,MOTOR CYCLE,"[""NO PARKING""]",[113],2023-12-22 06:23:46+05:30,,2023-12-23 04:27:37.539890+05:30,FKDEV00128,FKUSR00128,3,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL164109,MOTOR CYCLE,approved,2023-12-24 07:20:09.342000+05:30
FKID209261,12.9811062,77.5984499,"Cunningham Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL170342,SCOOTER,"[""NO PARKING""]",[113],2023-12-21 05:11:46+05:30,,2023-12-21 05:16:58.983209+05:30,FKDEV00364,FKUSR00360,16,Shivajinagar,True,BTP042 - Minsk Square Junction (CTO),,,FKN00GL149180,SCOOTER,approved,2023-12-27 09:57:25.550000+05:30
FKID180138,12.9810586,77.6100552,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL148410,PASSENGER AUTO,"[""WRONG PARKING""]",[112],2023-12-11 07:17:46+05:30,,2023-12-13 06:48:35.916362+05:30,FKDEV00037,FKUSR00037,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL148410,PASSENGER AUTO,approved,2023-12-17 10:18:25.952000+05:30
FKID270282,12.9795374,77.609606,"Kamaraj Road, Tyagi Henagalavarayan Junction, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL11054,CAR,"[""WRONG PARKING""]",[112],2024-01-26 12:19:46+05:30,,2024-01-27 02:58:49.779736+05:30,FKDEV00160,FKUSR00160,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL11054,CAR,approved,2024-01-28 01:29:09.318000+05:30
FKID260763,12.9825924,77.6107175,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL207117,PASSENGER AUTO,"[""NO PARKING""]",[113],2024-01-21 11:01:46+05:30,,2024-01-21 12:32:02.990151+05:30,FKDEV00160,FKUSR00160,16,Shivajinagar,True,No Junction,,,FKN00GL207117,PASSENGER AUTO,approved,2024-01-22 01:18:20.123000+05:30
FKID203500,12.9809361,77.6076413,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL166116,SCOOTER,"[""NO PARKING""]",[113],2023-11-26 10:42:46+05:30,,2023-11-26 10:48:28.818622+05:30,FKDEV00394,FKUSR00390,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL166116,SCOOTER,approved,2023-11-27 03:36:01.229000+05:30
FKID171785,12.9810832,77.6101056,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL123081,PASSENGER AUTO,"[""NO PARKING""]",[113],2023-12-09 12:39:46+05:30,,2023-12-09 12:53:35.930309+05:30,FKDEV00658,FKUSR01236,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL123081,PASSENGER AUTO,approved,2023-12-12 04:48:10.956000+05:30
FKID154930,12.9821582,77.6065216,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL91820,MOTOR CYCLE,"[""WRONG PARKING""]",[112],2023-11-15 10:16:46+05:30,,2023-11-15 10:18:16.503520+05:30,FKDEV00662,FKUSR00640,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL91820,MOTOR CYCLE,approved,2023-11-17 08:41:48.905000+05:30
FKID168093,12.9815091,77.6084634,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL138958,SCOOTER,"[""NO PARKING""]",[113],2023-11-20 09:45:46+05:30,,2023-11-20 09:47:14.322360+05:30,FKDEV00141,FKUSR00141,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL138958,SCOOTER,approved,2023-11-21 02:59:38.114000+05:30
FKID261986,12.981827,77.6094979,"Commercial Street, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL207988,SCOOTER,"[""WRONG PARKING""]",[112],2024-01-15 11:50:46+05:30,,2024-01-15 11:57:41.096067+05:30,FKDEV00307,FKUSR00306,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL207988,SCOOTER,approved,2024-01-16 01:40:51.133000+05:30
FKID172681,12.9838636,77.603654,"Central Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL142629,PASSENGER AUTO,"[""NO PARKING""]",[113],2023-11-19 05:33:46+05:30,,2023-11-19 05:40:18.944217+05:30,FKDEV00422,FKUSR00417,16,Shivajinagar,True,BTP211 - Central Street Junction,,,FKN00GL142629,PASSENGER AUTO,approved,2023-11-21 11:34:34.763000+05:30
FKID003300,12.981692,77.608015,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL3283,PASSENGER AUTO,"[""NO PARKING"",""DOUBLE PARKING""]","[113,109]",2024-02-01 09:56:46+05:30,,2024-02-01 10:16:20.800640+05:30,FKDEV00658,FKUSR00484,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL3283,PASSENGER AUTO,approved,2024-02-03 03:26:49.116000+05:30
FKID033082,12.9810843,77.6101825,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL30165,PASSENGER AUTO,"[""NO PARKING"",""DOUBLE PARKING""]","[113,109]",2024-03-18 11:35:46+05:30,,2024-03-18 11:39:52.970021+05:30,FKDEV00658,FKUSR01028,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,2024-04-06 01:02:45.795316+05:30,FKN00GL30165,PASSENGER AUTO,approved,2024-04-11 06:39:01.449000+05:30
FKID205376,12.9818206,77.6063088,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL167514,SCOOTER,"[""NO PARKING""]",[113],2023-11-27 11:11:46+05:30,,2023-11-27 11:18:12.308895+05:30,FKDEV01424,FKUSR01353,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL167514,SCOOTER,approved,2023-11-28 01:10:46.003000+05:30
FKID004193,12.9813165,77.6102225,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL4128,PASSENGER AUTO,"[""WRONG PARKING""]",[112],2024-03-11 06:37:46+05:30,,2024-03-11 11:22:55.525218+05:30,FKDEV00763,FKUSR00180,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,2024-03-28 20:43:55.912194+05:30,FKN00GL4128,PASSENGER AUTO,approved,
FKID161997,12.9822348,77.6068663,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL113789,MOTOR CYCLE,"[""WRONG PARKING""]",[112],2023-11-14 08:21:46+05:30,,2023-11-14 08:23:42.446789+05:30,FKDEV00144,FKUSR00144,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL113789,MOTOR CYCLE,approved,2023-11-17 11:50:14.520000+05:30
FKID216275,12.9802998,77.6140215,"Dickenson Cross Road, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL175636,CAR,"[""NO PARKING""]",[113],2023-12-31 09:48:46+05:30,,2023-12-31 10:05:36.774541+05:30,FKDEV00041,FKUSR00041,16,Shivajinagar,True,No Junction,,,FKN00GL175636,CAR,approved,2024-01-01 04:26:36.442000+05:30
FKID140283,12.9830049,77.6107842,"Veera Pillai Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL24261,SCOOTER,"[""NO PARKING"",""DEFECTIVE NUMBER PLATE""]","[113,116]",2023-12-04 08:44:46+05:30,,2023-12-04 08:48:11.059866+05:30,FKDEV00122,FKUSR01117,16,Shivajinagar,True,No Junction,,,FKN00GL24261,SCOOTER,approved,2023-12-05 04:07:13.378000+05:30
FKID163507,12.9811712,77.6094768,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL135405,SCOOTER,"[""NO PARKING""]",[113],2023-11-18 10:50:46+05:30,,2023-11-18 11:05:14.312546+05:30,FKDEV00089,FKUSR00089,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL135405,SCOOTER,approved,2023-11-19 01:04:25.525000+05:30
FKID247253,12.9821236,77.6063948,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL2788,SCOOTER,"[""WRONG PARKING""]",[112],2024-01-14 10:58:46+05:30,,2024-01-14 10:59:28.191232+05:30,FKDEV00144,FKUSR00144,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL2788,SCOOTER,approved,2024-01-15 04:59:35.095000+05:30
FKID203242,12.9809806,77.6076969,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL118484,SCOOTER,"[""NO PARKING""]",[113],2023-11-23 07:01:46+05:30,,2023-11-23 07:03:13.222396+05:30,FKDEV00141,FKUSR00141,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL118484,SCOOTER,approved,2023-11-26 10:42:01.096000+05:30
FKID264152,12.9817417,77.6103713,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL209527,SCOOTER,"[""WRONG PARKING""]",[112],2024-01-20 13:48:46+05:30,,2024-01-20 13:53:21.984200+05:30,FKDEV00037,FKUSR02134,16,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL209527,SCOOTER,approved,2024-01-21 01:41:51.670000+05:30
FKID193543,12.9828806,77.6011879,"Hospital Road, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL158706,CAR,"[""NO PARKING""]",[113],2023-11-25 06:39:46+05:30,,2023-11-25 06:48:17.314392+05:30,FKDEV00277,FKUSR00276,16,Shivajinagar,True,BTP211 - Central Street Junction,,,FKN00GL158706,CAR,approved,2023-11-26 05:16:32.254000+05:30
